"index","station_nm","lon","lat","user","var_n1","var_n2","var_n3","var_n4","var_n5","var_n6","var_n7","var_n8","var_n9","var_n10","var_n11","var_n12","var_n13","var_n14","var_n15","var_n16","var_n17"
1,"가능",127.044251,37.748362,15038,417,301,485,32,110,51,50,7,6,0,0,0,2,6,2,70,916.582348494954
1,"가락시장",127.118104,37.4923175,32841,312,195,277,107,89,38,69,7,3,0,0,0,8,5,0,0,2015.99882418086
1,"가산디지털단지",126.8825735,37.48089,114668,312,189,263,77,47,47,49,43,1,1,0,0,2,9,13,0,1285.40574166094
1,"가양",126.854244,37.561553,40613,114,90,102,20,56,36,39,0,12,28,1,0,3,3,5,27,1679.14359251692
1,"가좌",126.914841,37.56861,8506,177,127,195,16,51,31,26,9,5,0,0,0,0,0,0,0,1979.92686216011
1,"가천대",127.126635,37.449602,19973,116,119,164,16,24,11,21,6,3,0,0,0,2,11,5,30,1352.94196500752
1,"가평",127.510693,37.814515,5760,23,14,18,0,2,0,4,2,1,2,0,0,0,0,0,11,608.144574015779
1,"간석",126.693408,37.464689,13494,316,287,426,70,125,62,73,9,7,0,0,0,3,6,6,9,925.233812644859
1,"갈매",127.1156625,37.6348265,1589,23,15,34,2,2,0,8,0,2,0,0,0,5,0,1,2,1460.15378982361
1,"강남",127.027621,37.497942,199596,641,347,368,110,190,135,177,25,4,0,2,0,5,2,20,14,2793.14518709015
1,"강남구청",127.0411685,37.517473,50015,444,459,445,74,101,97,117,11,4,1,2,1,8,4,17,51,3370.76084723305
1,"강동",127.132187,37.53594,35657,602,398,448,120,130,109,148,55,1,0,1,0,4,5,7,0,1682.74909963616
1,"강동구청",127.120535,37.53051,20862,334,242,267,44,126,75,75,1,6,0,1,0,4,1,7,0,1918.8520353588
1,"강매",126.8454369,37.6125959,4591,43,40,56,13,46,17,22,0,5,59,0,0,7,2,0,19,1276.76117829932
1,"강변",127.094672,37.535144,99851,150,98,127,33,78,24,54,4,4,0,1,0,0,3,12,0,2068.98323519465
1,"강촌",127.63478,37.81829,1685,24,2,7,3,0,1,2,8,0,0,0,0,0,1,0,0,763.655338990455
1,"개롱",127.1346598,37.4981619,13872,220,200,224,37,115,44,34,1,7,0,0,0,12,1,0,0,1955.85462846556
1,"개봉",126.858504,37.494698,48070,191,157,190,37,103,46,33,8,4,0,2,0,0,4,1,4,1429.6816788905
1,"개포동",127.066502,37.489167,7375,28,24,27,10,35,12,14,0,7,0,0,1,7,2,8,36,4393.90759093521
1,"개화",126.797391,37.578576,10588,7,14,15,0,1,0,1,0,0,50,0,0,0,1,0,10,1561.01489822955
1,"개화산",126.806839,37.572455,11539,212,130,159,44,71,39,35,3,5,53,0,0,2,1,2,37,1521.4573471808
1,"거여",127.143597,37.493422,13629,201,147,183,43,78,56,41,2,6,0,1,0,14,5,0,0,1826.88086502027
1,"건대입구",127.069236,37.540389,131101,662,329,487,157,137,95,106,12,4,0,0,1,1,2,18,0,2233.20830092906
1,"검암",126.6736077,37.5692314,27051,62,38,64,17,37,10,19,0,2,1,0,0,0,0,7,23,1095.10071297327
1,"경마공원",127.007899,37.443987,15744,13,7,35,0,1,0,1,0,0,0,0,0,0,7,0,16,3019.46394241062
1,"경복궁",126.97358,37.575838,52595,451,128,217,26,45,37,38,11,2,0,0,6,5,5,34,42,2009.76153358298
1,"경찰병원",127.12419,37.495694,15054,441,347,450,111,166,72,105,6,7,0,0,0,12,3,0,0,2118.76312855026
1,"계양",126.7363805,37.571594,20632,10,8,10,1,0,1,0,0,1,2,0,0,1,0,2,0,1099.94161874001
1,"고덕",127.15411,37.555051,16860,98,73,86,21,77,32,32,1,9,0,0,0,10,5,1,0,2011.67929784314
1,"고려대",127.035859,37.590401,19798,312,169,289,26,53,47,33,23,7,0,0,0,0,0,0,20,1730.14491861777
