시설명,박물관미술관구분,소재지도로명주소,소재지지번주소,위도,경도,운영기관전화번호,운영기관명,운영홈페이지,편의시설정보,평일관람시작시각,평일관람종료시각,공휴일관람시작시각,공휴일관람종료시각,휴관정보,어른관람료,청소년관람료,어린이관람료,관람료기타정보,박물관미술관소개,교통안내정보,관리기관전화번호,관리기관명,데이터기준일자
제천유물전시관,공립,충청북도 제천시 청풍면 청풍호로 2048,충청북도 제천시 청풍면 물태리 산6-20,37.00404878,128.1717709,043-641-5532,제천시청 문화예술과,,장애인 편의시설 및 주차장,09:00,18:00,09:00,18:00,연중 무휴,3000,2000,1000,,"""제천유물전시관은 제천의 향토유물을 살필 수 있는 곳으로 고려시대의 청동 거울, 선사시대의 토기, 다양한 생활도구 등이 전시되어 있다.""",,043-641-5532,충청북도 제천시,2018-02-19
제천의병전시관,공립,충청북도 제천시 봉양읍 의암로 566-7,충청북도 제천시 봉양읍 공전리 475,37.100232,128.086173,043-641-4808,제천시청 문화예술과,http://www.jecheon.go.kr/jcub/index.do,장애인 편의시설 및 주차장,09:00,18:00,09:00,18:00,"""매주 월요일 및 명절(설날, 추석)""",0,0,0,,제천의병전시관은 제천을 중심으로 명성황후 시해와 단발령에 반발하여 위정척사의 깃발 아래 외세의 침입에 항거한 호좌(湖左) 의병의 활동과 전개 과정을 살펴볼 수 있는 전시관이다.,,043-641-4808,충청북도 제천시,2018-02-19
국제한방발효박물관,공립,충청북도 제천시 한방엑스포로 19,충청북도 제천시 왕암동 660,37.1428677,128.160549,043-653-9550,제천시청 한방바이오과,http://www.expopark.kr,장애인 편의시설 및 주차장,09:00,17:30,09:00,17:30,"""매주 월요일(공휴일인 경우 익일 휴무),1월 1일, 설날, 추석""",0,0,0,,"""국제발표박물관은 과거 발효식품의 유래와 효능을 통해 발효식품의 발전 방향을 알아보고, 현재 우리 실생활에 응용되는 세계 각국의 발효식품들과 발효의 방법, 발효의 과정 등을 살펴볼 수 있는 곳이다.""",,043-653-9550,충청북도 제천시,2018-02-19
지적박물관,사립,충청북도 제천시 금성면 양월로 34,충청북도 제천시 금성면 양화리 623,37.076952,128.197749,043-651-5115,지적박물관,http://www.forjijeok.com/,장애인 편의시설 및 주차장,09:00,18:00,09:00,18:00,매주 월요일 및 법정공휴일,5000,3000,1000,,"""지적박물관은 지적 관련 자료, 향토지, 백년사 등 3개 분야의 자료를 상설·특별 전시와 보관을 통해 학술 연구 및 교육에 기여하기 위해 설립되었다.""",,043-651-5115,지적박물관,2018-02-19
안상철미술관,사립,경기도 양주시 백석읍 권율로 905,경기도 양주시 백석읍 기산리 215-3,37.778371,126.956991,031-874-0734,안상철미술관,http://www.ahnsangchul.co.kr/museum/introduction1.html,http://www.ahnsangchul.co.kr/museum/introduction1.html,11:00,17:00,11:00,17:00,"""매주 월요일, 명절(설날, 추석), 1월1일 휴관, 동절기 12월 15일부터 다음해 3월 15일 휴관""",3000,1000,0,"""어린이,노인무료관람""",연정 안상철과 더불어 화가로 활동하신 부인 나희균의 예술세계를 널리 알리고 한국미술사에서 적절한 위상을 정립하기 위함,http://www.ahnsangchul.co.kr/museum/introduction1.html,031-874-0734,안상철미술관,2018-02-19
필룩스조명박물관,사립,경기도 양주시 광적면 광적로 235-48,경기도 양주시 광적면 석우리 624-8,37.835731,126.968451,070-7780-8911,필룩스조명박물관,http://www.lighting-museum.com/wp/intro/,http://www.lighting-museum.com/wp/intro/,10:00,17:00,10:00,17:00,"""신정, 설날연휴, 추석연휴,필룩스 창립기념일(6.20)""",5000,4000,4000,장애인 및 양주시민 50할인,"""빛의 과거와 현재, 미래가 공존하는 곳 조명박물관입니다""",http://www.lighting-museum.com/wp/intro/,070-7780-8911,필룩스조명박물관,2018-02-19
사상생활사박물관,공립,부산광역시 사상구 낙동대로1258번길 36(삼락동),부산광역시 사상구 삼락동414-13,35.1720673,128.9786129,051-310-5136,부산광역시 사상구청,,전시실+프로그램실+휴게실+주차장,09:00,18:00,09:00,18:00,"""월요일(단, 월요일이 공휴일인경우 당일은 개관하고 그 다음 첫번째 평일에 휴관), 1월1일, 설날, 추석연휴""",0,0,0,무료,"""사상생활사박물관은 2016년 5월 6일에 개관하였고, 생활사박물관으로는 지자체에서 최초로 개관한 박물관으로 2종박물관으로 등록하였다.""","""지하철: 2호선 덕포역1번출구(도보로 529m)+마을버스: 사상구7-덕포시장+버스: 123, 126-삼락생태공원,138-1-한신아파트2차""",051-310-5136,부산광역시 사상구청,2018-02-19
경북대학교 박물관,대학,대구광역시 북구 대학로 80(산격동),대구광역시 북구 산격동 1370,35.8887118,128.613693,053-950-6537,경북대학교,http://museum.knu.ac.kr/,기획전시실+상설전시실+야외전시장+자료정리실+보존과학실+도서실+시청각실+수장실,10:00,17:00,00:00,00:00,"""토(둘째, 넷째), 일요일 및 공휴일,개교기념일(5월 28일)""",0,0,0,일반인 관람 가능,"""1959년 개관 이래 유물의 수집과 보존, 전시, 연구 등을 통하여 대구 경북지역의 중축적인 문화시설로서 그 역할을 수행하여 왔음""","""버스:북문정차(300, 306, 410, 410-1, 523, 706, 719, 급행6), 정문정차(410,410-1, 503, 937, 동구2, 북구2), 서문정차(304, 306, 403, 410, 523, 623, 급행6, 순환2-1)+지하철:1호선 칠성역서운프라자 출구, 신천역 5번 출구""",053-803-3740,대구광역시,2018-02-19
대구보건대학교 인당박물관,대학,대구광역시 북구 영송로 15(태전동),대구광역시 북구 태전동 산 6-6,35.9285673,128.5435311,053-320-1857,대구보건대학교,http://indangmuseum.dhc.ac.kr/,제1전시실+제2전시실+제3전시실+제4전시실+제5전시실+야외전시장,10:00,17:00,00:00,00:00,"""공휴일, 토요일, 일요일 휴관 / 전시 기간 중 월요일 휴관""",0,0,0,일반인 관람 가능,"""개관 이래 유물의 수집과 보존, 전시 등을 통해 전통문화를 계승하고 있으며, 매년 봄 가을 2차례 특별전을 개최하여 지역민들에게 가치있는 문화를 향유할 수 있는 기회를 제공하고자 노력하고 있음""","""버스: 724, 750, 726, 527, 704, 급행3""",053-803-3740,대구광역시,2018-02-19
경북대학교 미술관,대학,대구광역시 북구 대학로 80(산격동),대구광역시 북구 산격동 1370,35.8925724,128.6098044,053-950-7968,경북대학교,http://artmuseum.knu.ac.kr,제1전시실+제2전시실+제3전시실,10:00,18:00,00:00,00:00,"""월요일, 일요일 및 국정공휴일""",0,0,0,기획전 또는 특별전의 경우 관람료가 책정될 수 있음,지역 최초로 설립된 대학미술관이자 공공미술관으로 전시 및 다양한 학술행사와 교육프로그램을 개발 운영하고 있음,"""버스:북문정차(300, 306, 410, 410-1, 523, 706, 719, 급행6), 정문정차(410,410-1, 503, 937, 동구2, 북구2), 서문정차(304, 306, 403, 410, 523, 623, 급행6, 순환2-1)+지하철:1호선 칠성역서운프라자 출구, 신천역 5번 출구""",053-803-3740,대구광역시,2018-02-19
