주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,데이터기준일자
177-2-000015,수박등로공영주차장,공영,노외,광주광역시 남구 대남대로 308번길 32,광주광역시 남구 월산동614-4번지,20,기타,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,0,0,0,,,광주광역시 남구청,062-607-4231,35.141664,126.897177,2018-02-20
177-2-000014,신청사주변공영주차장,공영,노외,,광주광역시 남구 주월동 1284-7,12,기타,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,0,0,0,,,광주광역시 남구청,062-607-4231,35.132403,126.902622,2018-02-20
177-2-000013,백운2동공영주차장,공영,노외,광주광역시 남구 진다리로 6번나길 3-3,광주광역시 남구 백운동 621-19,8,기타,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,0,0,0,,,광주광역시 남구청,062-607-4231,35.136165,126.902482,2018-02-20
177-2-000012,광주 향교,공영,노외,광주광역시 남구 중앙로 95번안길 5-2,광주광역시 남구 서동 154외 2,20,기타,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,0,0,0,,,광주광역시 남구청,062-607-4231,35.145385,126.908680,2018-02-20
177-2-000011,광주공원앞공영주차장,공영,노외,,광주광역시 남구 구동 2-2,50,기타,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,0,0,0,,,광주광역시 남구청,062-607-4231,35.147951,126.910171,2018-02-20
177-2-000010,양림동주민센터,공영,노외,,광주광역시 남구 양림동 93-33,7,기타,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,0,0,0,,,광주광역시 남구청,062-607-4231,35.137032,126.915711,2018-02-20
177-2-000009,압촌동공영주차장,공영,노외,,광주광역시 남구 압촌동 90-1,19,기타,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,0,0,0,,,광주광역시 남구청,062-607-4231,35.093584,126.837482,2018-02-20
177-2-000008,효덕IC공영주차장,공영,노외,광주광역시 남구 서문대로 551,광주광역시 남구 송하동 29-2,109,3,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,30,300,15,150,24,3900,77000,현금,,광주광역시 남구청,062-607-4231,35.110873,126.892836,2018-02-20
177-2-000007,유안근린공원공영주차장,공영,노외,광주광역시 남구 봉선로 195,광주광역시 남구 봉선동 134,101,기타,미시행,평일+토요일+공휴일,08:00,22:00,08:00,22:00,08:00,22:00,무료,0,0,0,0,0,0,0,,,광주광역시 남구청,062-607-4231,35.122998,126.916560,2018-02-20
177-2-000006,주월동공영주차장,공영,노외,,광주광역시 남구 주월동 974-145외1,59,기타,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,0,0,0,,,광주광역시 남구청,062-607-4231,35.135132,126.894264,2018-02-20
177-2-000005,양림동공영주차장,공영,노외,,광주광역시 남구 양림동 149-1외3,18,기타,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,0,0,0,,,광주광역시 남구청,062-607-4231,35.140965,126.914984,2018-02-20
177-2-000004,통샘공영주차장,공영,노외,,광주광역시 남구 서동 147-23외3,26,기타,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,0,0,0,,,광주광역시 남구청,062-607-4231,35.130556,126.925154,2018-02-20
177-2-000003,방림2동공영주차장,공영,노외,,광주광역시 남구 방림동 2-53외2,17,기타,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,0,0,0,,,광주광역시 남구청,062-607-4231,35.130556,126.925154,2018-02-20
177-2-000002,월산4동공영주차장,공영,노외,,광주광역시 남구 월산동 948-14외2,14,기타,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,0,0,0,,,광주광역시 남구청,062-607-4231,35.146416,126.891054,2018-02-20
177-2-000001,서동공영주차장,공영,노외,,광주광역시 남구 서동 66-9외2,8,기타,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,0,0,0,,,광주광역시 남구청,062-607-4231,35.144354,126.904291,2018-02-20
192-2-000019,학성공원,공영,노외,울산광역시 중구 학성동 196-1번지,,24,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,울산광역시 중구,,35.5558377852,129.337496932,2018-02-20
192-2-000017,병영막창거리,공영,노외,울산광역시 중구 남외동 336번지,,19,1,미시행,평일+토요일+공휴일,12:00,21:00,12:00,21:00,12:00,21:00,유료,30,500,10,200,,10000,,현금,,울산광역시 중구,,35.5695664755,129.343793783,2018-02-20
192-2-000016,태화시장,공영,노외,울산광역시 중구 태화동 24-4번지,,23,1,미시행,평일+토요일+공휴일,10:00,19:00,10:00,19:00,10:00,19:00,유료,30,500,10,200,,10000,,현금,,울산광역시 중구,,35.556148021,129.308501814,2018-02-20
192-2-000013,학성새벽시장,공영,노외,울산광역시 중구 학성동 364-1번지,,40,1,미시행,평일+토요일+공휴일,06:00,15:00,06:00,15:00,06:00,15:00,유료,30,500,10,200,,10000,60000,현금,,울산광역시 중구,,35.5570237251,129.333583859,2018-02-20
192-2-000012,구역전시장,공영,노외,울산광역시 중구 학산동 452-273번지,,67,1,미시행,평일+토요일+공휴일,06:00,20:00,06:00,20:00,06:00,20:00,유료,30,500,10,200,,10000,60000,현금,,울산광역시 중구,,,,2018-02-20
192-2-000011,성남,공영,노외,울산광역시 중구 성남동 190-200번지,,146,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,30,500,10,200,,10000,80000,현금,,울산광역시 중구,,35.5541429357,129.316824256,2018-02-20
192-2-000010,복산2공원,공영,노외,울산광역시 중구 복산동 205-1번지,,47,1,미시행,평일+토요일+공휴일,14:00,23:00,14:00,23:00,14:00,23:00,유료,30,500,10,200,,10000,60000,현금,,울산광역시 중구,,35.5662295624,129.331874692,2018-02-20
192-2-000009,옥교,공영,노외,울산광역시 중구 옥교동 94-2번지,,572,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,30,500,10,200,,10000,,현금,,울산광역시 중구,,35.5538572609,129.322677561,2018-02-20
192-2-000008,울산시장(학산),공영,노외,울산광역시 중구 학산동 54-7번지,,14,1,미시행,평일+토요일+공휴일,10:00,18:00,10:00,18:00,10:00,18:00,유료,30,500,10,200,,10000,60000,현금,,울산광역시 중구,,35.5557671223,129.328673735,2018-02-20
192-2-000007,강북,공영,노외,울산광역시 중구 옥교동 72-3번지,,127,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,30,500,10,200,,10000,60000,현금,,울산광역시 중구,,35.5521731149,129.32254075,2018-02-20
192-2-000006,번영교하부,공영,노외,울산광역시 중구 옥교동 70-5번지,,24,1,미시행,평일+토요일+공휴일,11:00,20:00,11:00,20:00,11:00,20:00,유료,30,500,10,200,,10000,60000,현금,,울산광역시 중구,,35.5531964018,129.323492062,2018-02-20
192-2-000005,복산초교,공영,노외,울산광역시 중구 복산동 572번지,,35,1,미시행,평일+토요일+공휴일,09:00,18:00,09:00,18:00,09:00,18:00,유료,30,500,10,200,,10000,60000,현금,,울산광역시 중구,,,,2018-02-20
192-2-000032,반구,공영,노외,울산광역시 중구 반구동 448-9번지,,106,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,30,500,10,200,,10000,60000,현금,,울산광역시 중구,,35.558407802,129.3434246,2018-02-20
192-1-000003,학성가구거리,공영,노상,울산광역시 중구 학성동 191-13번지,,62,1,미시행,평일+토요일+공휴일,06:00,15:00,06:00,15:00,06:00,15:00,유료,30,500,10,200,,10000,60000,현금,,울산광역시 중구,,35.5544276905,129.336053437,2018-02-20
192-1-000002,학성로,공영,노상,울산광역시 중구 성남동 195-5번지,,78,1,미시행,평일+토요일+공휴일,11:00,19:00,11:00,19:00,11:00,19:00,유료,30,500,10,200,,10000,60000,현금,,울산광역시 중구,,,,2018-02-20
192-1-000001,약사복개천,공영,노상,울산광역시 중구 남외동 341-1번지,,45,1,미시행,평일+토요일+공휴일,11:00,20:00,11:00,20:00,11:00,20:00,유료,30,500,10,200,,10000,,현금,,울산광역시 중구,,35.5691743523,129.344496987,2018-02-20
192-1-000005,옥교로(번영로하부옆),공영,노상,울산광역시 중구 옥교동 317-18번지,,40,1,미시행,평일+토요일+공휴일,11:00,18:00,11:00,18:00,11:00,18:00,유료,30,500,10,200,,10000,60000,현금,,울산광역시 중구,,35.5528649238,129.324047027,2018-02-20
192-2-000031,교동교하부,공영,노외,울산광역시 중구 교동 156-1번지,,25,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,울산광역시 중구,,,,2018-02-20
192-2-000030,우정성당뒤,공영,노외,울산광역시 중구 우정동 440번지,,34,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,혼합,0,0,,,,,10000,현금,,울산광역시 중구,,35.5603144671,129.310385686,2018-02-20
192-2-000029,남외,공영,노외,울산광역시 중구 남외동 542-5번지,,49,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,울산광역시 중구,,35.5696229073,129.34848466,2018-02-20
192-2-000028,희망,공영,노외,울산광역시 중구 약사동 762-6번지,,89,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,울산광역시 중구,,35.5696851259,129.334154071,2018-02-20
192-2-000003,우정1,공영,노외,울산광역시 중구 우정동 277-1번지,,85,1,미시행,평일+토요일+공휴일,12:00,21:00,12:00,21:00,12:00,21:00,유료,30,500,10,200,,10000,60000,현금,,울산광역시 중구,,35.555850963,129.312903892,2018-02-20
192-2-000002,북정공원지하,공영,노외,울산광역시 중구 북정동 1-3번지,,73,1,미시행,평일+토요일+공휴일,07:00,23:00,07:00,23:00,07:00,23:00,유료,30,500,10,200,,10000,60000,현금,,울산광역시 중구,,35.557705841,129.32065828,2018-02-20
192-2-000001,성남둔치,공영,노외,울산광역시 중구 성남동 215-1번지,,545,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,30,500,10,200,,10000,60000,현금,,울산광역시 중구,,35.5524489219,129.31982308,2018-02-20
