"본 자료는 실거래가 사이트에서 제공하고 있는  계약일 기준 자료로 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기 바라며,",,,,,,,,
외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.,,,,,,,,
* 주택매매 거래는 부동산거래신고에관한법률 제3조에 따라 계약 후 60일이내 신고토록 규정,,,,,,,,
"** 주택매매 거래량은 매월 15일경 부동산통계정보시스템(www.r-one.co.kr)에서  확인 가능하며, 전월세 거래량은 국토교통부 홈페이지(보도자료)를 통해 확인 가능",,,,,,,,
,,,,,,,,
,,,,,,,,
시군구,번지,단지명,전용면적(㎡),계약일,거래금액(만원),층,건축년도,도로명
 충청남도 계룡시 금암동,69-1,계룡금암주공,75.95,1~10,"11,300",2,2002,서금암로
 충청남도 계룡시 금암동,69-1,계룡금암주공,84.99,1~10,"15,500",10,2002,서금암4길
 충청남도 계룡시 금암동,69-1,계룡금암주공,84.99,1~10,"14,300",6,2002,서금암로
 충청남도 계룡시 금암동,163-3,계룡한양아이클래스,25.49,11~20,"6,700",7,2015,서금암로
 충청남도 계룡시 금암동,163-3,계룡한양아이클래스,25.49,11~20,"6,700",7,2015,서금암로
 충청남도 계룡시 금암동,163-3,계룡한양아이클래스,32.58,1~10,"8,500",4,2015,서금암로
 충청남도 계룡시 금암동,163-3,계룡한양아이클래스,32.58,1~10,"8,500",4,2015,서금암로
 충청남도 계룡시 금암동,163-3,계룡한양아이클래스,33.19,1~10,"8,400",4,2015,서금암로
 충청남도 계룡시 금암동,163-3,계룡한양아이클래스,33.19,1~10,"8,400",4,2015,서금암로
 충청남도 계룡시 금암동,163-3,계룡한양아이클래스,34.68,11~20,"8,470",4,2015,서금암로
 충청남도 계룡시 금암동,190,신성미소지움1차,59.97,11~20,"12,800",3,2005,장안1길
 충청남도 계룡시 금암동,190,신성미소지움1차,84.96,1~10,"16,000",9,2005,장안1길
 충청남도 계룡시 금암동,190,신성미소지움1차,84.96,21~30,"16,000",2,2005,장안1길
 충청남도 계룡시 금암동,190,신성미소지움1차,118.12,1~10,"21,500",7,2005,장안1길
 충청남도 계룡시 금암동,74,신성미소지움2차,130.2,11~20,"20,400",3,2005,서금암5길
 충청남도 계룡시 금암동,74,신성미소지움2차,150.91,1~10,"21,500",2,2005,서금암5길
 충청남도 계룡시 금암동,167-1,우림루미아트,84.98,1~10,"15,000",5,2005,장안로
 충청남도 계룡시 금암동,167-1,우림루미아트,84.98,1~10,"17,500",11,2005,장안로
 충청남도 계룡시 금암동,167-1,우림루미아트,84.98,1~10,"17,400",15,2005,장안로
 충청남도 계룡시 금암동,167-1,우림루미아트,84.98,11~20,"16,150",10,2005,장안로
 충청남도 계룡시 금암동,167-1,우림루미아트,84.98,11~20,"16,150",1,2005,장안로
 충청남도 계룡시 금암동,167-1,우림루미아트,123.64,1~10,"22,000",6,2005,장안로
 충청남도 계룡시 금암동,167-1,우림루미아트,123.64,21~30,"21,000",10,2005,장안로
 충청남도 계룡시 두마면 두계리,116,계룡E-편한세상,84.74,1~10,"17,300",11,2007,사계로
 충청남도 계룡시 두마면 두계리,116,계룡E-편한세상,84.74,11~20,"18,500",4,2007,사계로
 충청남도 계룡시 두마면 두계리,116,계룡E-편한세상,84.74,21~30,"18,000",3,2007,사계로
 충청남도 계룡시 두마면 두계리,116,계룡E-편한세상,84.74,21~30,"19,400",11,2007,사계로
 충청남도 계룡시 두마면 두계리,116,계룡E-편한세상,84.74,21~30,"17,200",15,2007,사계로
 충청남도 계룡시 두마면 두계리,116,계룡E-편한세상,106.73,21~30,"21,500",6,2007,사계로
 충청남도 계룡시 두마면 두계리,116,계룡E-편한세상,106.73,21~30,"21,800",3,2007,사계로
 충청남도 계룡시 두마면 두계리,116,계룡E-편한세상,134.73,21~30,"25,000",8,2007,사계로
 충청남도 계룡시 두마면 두계리,67,포스코더샵,101.95,21~30,"21,000",15,2008,사계로
 충청남도 계룡시 두마면 두계리,67,포스코더샵,134.97,21~30,"26,200",12,2008,사계로
 충청남도 계룡시 두마면 두계리,67,포스코더샵,156.31,1~10,"33,000",12,2008,사계로
 충청남도 계룡시 엄사면 엄사리,280,경남무궁화,84.56,1~10,"12,500",12,1996,번영로
 충청남도 계룡시 엄사면 엄사리,280,경남무궁화,84.56,1~10,"12,000",2,1996,번영로
 충청남도 계룡시 엄사면 엄사리,280,경남무궁화,84.56,11~20,"12,900",7,1996,번영로
 충청남도 계룡시 엄사면 엄사리,281,동아,59.67,1~10,"5,900",14,1994,엄사중앙로
 충청남도 계룡시 엄사면 엄사리,281,동아,84.87,1~10,"12,100",8,1994,엄사중앙로
 충청남도 계룡시 엄사면 엄사리,281,동아,84.87,11~20,"12,300",5,1994,엄사중앙로
 충청남도 계룡시 엄사면 엄사리,367,두산신성,59.76,11~20,"7,500",3,1994,엄사중앙로
 충청남도 계룡시 엄사면 엄사리,367,두산신성,59.76,21~30,"7,800",13,1994,엄사중앙로
 충청남도 계룡시 엄사면 엄사리,367,두산신성,84.86,1~10,"12,500",8,1994,엄사중앙로
 충청남도 계룡시 엄사면 엄사리,226-4,삼진,29.13,1~10,"3,600",12,1997,번영3길
 충청남도 계룡시 엄사면 엄사리,226-4,삼진,29.13,11~20,"2,600",1,1997,번영3길
 충청남도 계룡시 엄사면 엄사리,226-4,삼진,29.13,11~20,"2,800",1,1997,번영3길
 충청남도 계룡시 엄사면 엄사리,226-4,삼진,29.13,21~30,"3,600",14,1997,번영3길
 충청남도 계룡시 엄사면 엄사리,226-4,삼진,39.93,1~10,"4,000",12,1997,번영3길
 충청남도 계룡시 엄사면 엄사리,226-4,삼진,39.93,11~20,"4,800",2,1997,번영3길
 충청남도 계룡시 엄사면 엄사리,282,성원,58.32,1~10,"7,650",6,1997,엄사중앙로
 충청남도 계룡시 엄사면 엄사리,282,성원,58.32,1~10,"6,850",3,1997,엄사중앙로
 충청남도 계룡시 엄사면 엄사리,282,성원,58.32,1~10,"7,500",14,1997,엄사중앙로
 충청남도 계룡시 엄사면 엄사리,282,성원,58.32,1~10,"6,600",2,1997,엄사중앙로
 충청남도 계룡시 엄사면 엄사리,282,성원,58.32,11~20,"7,300",7,1997,엄사중앙로
 충청남도 계룡시 엄사면 엄사리,282,성원,58.32,21~30,"7,000",6,1997,엄사중앙로
 충청남도 계룡시 엄사면 엄사리,282,성원,58.32,21~30,"7,200",6,1997,엄사중앙로
 충청남도 계룡시 엄사면 엄사리,282,성원,58.32,21~30,"7,500",5,1997,엄사중앙로
 충청남도 계룡시 엄사면 엄사리,282,성원,58.32,21~30,"7,350",8,1997,엄사중앙로
 충청남도 계룡시 엄사면 엄사리,282,성원,58.32,21~30,"7,200",3,1997,엄사중앙로
 충청남도 계룡시 엄사면 엄사리,282,성원,58.32,21~30,"8,000",9,1997,엄사중앙로
 충청남도 계룡시 엄사면 엄사리,282,성원,58.32,21~30,"8,300",10,1997,엄사중앙로
 충청남도 계룡시 엄사면 엄사리,282,성원,58.32,21~30,"7,300",6,1997,엄사중앙로
 충청남도 계룡시 엄사면 유동리,14-6,대동,59.79,11~20,"10,000",13,2000,번영3길
 충청남도 계룡시 엄사면 유동리,14-6,대동,59.79,11~20,"10,200",10,2000,번영3길
 충청남도 계룡시 엄사면 유동리,14-6,대동,84.99,1~10,"12,300",13,2000,번영3길
 충청남도 계룡시 엄사면 유동리,14-6,대동,84.99,21~30,"12,800",10,2000,번영3길
 충청남도 계룡시 엄사면 유동리,14-6,대동,84.99,21~30,"12,800",10,2000,번영3길
 충청남도 계룡시 엄사면 유동리,14-6,대동,106.63,1~10,"14,500",11,2000,번영3길
 충청남도 계룡시 엄사면 유동리,14-6,대동,128.94,21~30,"17,000",9,2000,번영3길
 충청남도 계룡시 엄사면 유동리,14-6,대동,128.94,21~30,"15,500",9,2000,번영3길
 충청남도 계룡시 엄사면 유동리,460,블루힐스,84.98,21~30,"16,500",12,2012,계백로
 충청남도 공주시 교동,70-1,대현맨션,47.76,1~10,"5,500",4,1986,용당길
 충청남도 공주시 교동,70-1,대현맨션,63.03,21~30,"7,300",1,1986,용당길
 충청남도 공주시 교동,111-3,샹화샤인빌,84.96,21~30,"16,000",4,2005,제민천1길
 충청남도 공주시 금학동,389,금학e-편한세상,84.69,11~20,"20,500",13,2008,우금티로
 충청남도 공주시 금학동,224-1,대일(224-1),75.07,11~20,"6,200",2,1990,금학동길
 충청남도 공주시 금흥동,602,공주신금우남퍼스트빌,84.67,11~20,"27,300",18,2010,한적2길
 충청남도 공주시 금흥동,602,공주신금우남퍼스트빌,84.67,21~30,"22,500",8,2010,한적2길
 충청남도 공주시 금흥동,602,공주신금우남퍼스트빌,84.67,21~30,"23,400",10,2010,한적2길
 충청남도 공주시 금흥동,602,공주신금우남퍼스트빌,101.71,1~10,"29,500",7,2010,한적2길
 충청남도 공주시 금흥동,259,새뜸현대4,59.6,1~10,"11,500",2,1999,신금1길
 충청남도 공주시 금흥동,259,새뜸현대4,59.6,21~30,"12,200",2,1999,신금1길
 충청남도 공주시 금흥동,259,새뜸현대4,73.6,21~30,"14,500",24,1999,신금1길
 충청남도 공주시 금흥동,259,새뜸현대4,84.95,1~10,"15,500",7,1999,신금1길
 충청남도 공주시 금흥동,259,새뜸현대4,126.73,1~10,"19,900",18,1999,신금1길
 충청남도 공주시 신관동,180-5,다숲1단지,84.97,1~10,"22,500",12,2006,공주대학로
 충청남도 공주시 신관동,180-5,다숲1단지,84.97,1~10,"18,800",2,2006,공주대학로
 충청남도 공주시 신관동,191-3,다숲2단지,84.97,11~20,"17,800",2,2006,공주대학로
 충청남도 공주시 신관동,5,대아곰나루,59.67,11~20,"11,000",14,1996,신금2길
 충청남도 공주시 신관동,5,대아곰나루,59.67,21~30,"9,850",2,1996,신금2길
 충청남도 공주시 신관동,5,대아곰나루,73.94,1~10,"12,350",3,1996,신금2길
 충청남도 공주시 신관동,5,대아곰나루,84.98,1~10,"13,750",8,1996,신금2길
 충청남도 공주시 신관동,5-7,대아아이투빌,84.94,1~10,"15,300",4,2002,번영1로
 충청남도 공주시 신관동,5-7,대아아이투빌,84.94,1~10,"14,500",11,2002,번영1로
 충청남도 공주시 신관동,5-7,대아아이투빌,84.94,1~10,"16,100",13,2002,번영1로
 충청남도 공주시 신관동,5-7,대아아이투빌,84.94,11~20,"15,500",5,2002,번영1로
 충청남도 공주시 신관동,5-7,대아아이투빌,84.94,21~30,"16,300",6,2002,번영1로
 충청남도 공주시 신관동,5-7,대아아이투빌,84.94,21~30,"16,350",6,2002,번영1로
 충청남도 공주시 신관동,5-7,대아아이투빌,84.94,21~30,"15,650",11,2002,번영1로
 충청남도 공주시 신관동,5-7,대아아이투빌,84.94,21~30,"15,500",2,2002,번영1로
 충청남도 공주시 신관동,336-9,덕성그린시티빌,35.86,1~10,"4,500",2,1999,관골2길
 충청남도 공주시 신관동,336-9,덕성그린시티빌,42.97,11~20,"7,000",10,1999,관골2길
 충청남도 공주시 신관동,679,삼환나우빌,84.96,1~10,"23,000",13,2009,관골1길
 충청남도 공주시 신관동,1,새뜸현대,59.5,11~20,"11,700",12,1996,신금1길
 충청남도 공주시 신관동,1,새뜸현대,59.5,21~30,"10,700",15,1996,신금1길
