"본 자료는 실거래가 사이트에서 제공하고 있는  계약일 기준 자료로 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기 바라며,",,,,,,,,
외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.,,,,,,,,
* 주택매매 거래는 부동산거래신고에관한법률 제3조에 따라 계약 후 60일이내 신고토록 규정,,,,,,,,
"** 주택매매 거래량은 매월 15일경 부동산통계정보시스템(www.r-one.co.kr)에서  확인 가능하며, 전월세 거래량은 국토교통부 홈페이지(보도자료)를 통해 확인 가능",,,,,,,,
,,,,,,,,
,,,,,,,,
시군구,번지,단지명,전용면적(㎡),계약일,거래금액(만원),층,건축년도,도로명
 충청북도 괴산군 괴산읍 동부리,811,신성건설 미소지움 괴산,59.98,1~10,"14,300",11,2014,남산1길
 충청북도 단양군 단양읍 별곡리,570-2,성원,43.2,21~31,"6,300",10,1993,별곡7길
 충청북도 단양군 단양읍 상진리,50,두진,35.67,21~31,"4,500",10,1996,상진2로
 충청북도 단양군 단양읍 상진리,50,두진,35.67,21~31,"5,200",17,1996,상진2로
 충청북도 단양군 단양읍 상진리,50,두진,49.69,1~10,"7,700",12,1996,상진2로
 충청북도 단양군 단양읍 상진리,50,두진,49.69,21~31,"6,700",8,1996,상진2로
 충청북도 단양군 단양읍 상진리,978,주공,39.72,11~20,"4,300",3,1985,상진1로
 충청북도 단양군 매포읍 평동리,1000,평동한라,84.97,21~31,"8,500",10,1994,평동4로
 충청북도 보은군 보은읍 교사리,406,그린,56.48,21~31,"5,700",4,1990,향교길
 충청북도 보은군 보은읍 교사리,174-6,동진,66.33,11~20,"5,400",7,1990,보은로
 충청북도 보은군 보은읍 교사리,34-7,장미,59.67,11~20,"7,300",6,1995,동광길
 충청북도 보은군 보은읍 이평리,130-1,대동,59.82,21~31,"7,100",1,1994,뱃들로
 충청북도 보은군 보은읍 이평리,130-1,대동,59.82,21~31,"6,600",3,1994,뱃들로
 충청북도 보은군 보은읍 이평리,96-3,영진하이빌101동,84.96,1~10,"13,200",3,2006,뱃들4길
 충청북도 보은군 보은읍 이평리,148,프리미엄/뷰,59.55,1~10,"13,900",12,2016,군청길
 충청북도 보은군 보은읍 이평리,148,프리미엄/뷰,59.55,1~10,"13,900",7,2016,군청길
 충청북도 보은군 보은읍 이평리,148,프리미엄/뷰,59.6,1~10,"13,900",11,2016,군청길
 충청북도 보은군 보은읍 이평리,148,프리미엄/뷰,59.6,11~20,"13,900",14,2016,군청길
 충청북도 보은군 보은읍 이평리,148,프리미엄/뷰,59.9,1~10,"13,900",7,2016,군청길
